Filename	URN	Suggested Full URN	Title	Author	Editor	Publisher	Publication Year
tlg4102.tlg036.xml	tlg4102.tlg036	urn:cts:greekLit:tlg4102.tlg036.opp-grc1	Catena In Epistulam Ad Titum (E Cod. Paris. Coislin. 204)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg037.xml	tlg4102.tlg037	urn:cts:greekLit:tlg4102.tlg037.opp-grc1	Catena In Epistulam Ad Philemonem (E Cod. Paris. Coislin. 204)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg038.xml	tlg4102.tlg038	urn:cts:greekLit:tlg4102.tlg038.opp-grc1	Catena In Epistulam Ad Hebraeos (E Cod. Paris. Coislin. 204)	Catenae (Novum Testamentum)	John Anthony Cramer	E Typographeo Academico	1844
tlg4102.tlg040.xml	tlg4102.tlg040	urn:cts:greekLit:tlg4102.tlg040.opp-grc1	Catena In Epistulam Jacobi (Catena Andreae) (E Cod. Oxon. Coll.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg041.xml	tlg4102.tlg041	urn:cts:greekLit:tlg4102.tlg041.opp-grc1	Catena In Epistulam Petri I (Catena Andreae) (E Cod. Oxon. Coll.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg042.xml	tlg4102.tlg042	urn:cts:greekLit:tlg4102.tlg042.opp-grc1	Catena In Epistulam Petri Ii (Catena Andreae) (E Cod. Oxon.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg043.xml	tlg4102.tlg043	urn:cts:greekLit:tlg4102.tlg043.opp-grc1	Catena In Epistulam Joannis I (Catena Andreae) (E Cod. Oxon.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg044.xml	tlg4102.tlg044	urn:cts:greekLit:tlg4102.tlg044.opp-grc1	Catena In Epistulam Joannis Ii (Catena Andreae) (E Cod. Oxon.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg045.xml	tlg4102.tlg045	urn:cts:greekLit:tlg4102.tlg045.opp-grc1	Catena In Epistulam Joannis Iii (Catena Andreae) (E Cod. Oxon.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlg046.xml	tlg4102.tlg046	urn:cts:greekLit:tlg4102.tlg046.opp-grc1	Catena In Epistulam Juda (Catena Andreae) (E Cod. Oxon. Coll.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlgX01.xml	tlg4102.tlgX01	urn:cts:greekLit:tlg4102.tlgX01.opp-grc1	Prooemium Pseudo-Oecumenii In Apocalypsin Commentarii (E Cod.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlgX02.xml	tlg4102.tlgX02	urn:cts:greekLit:tlg4102.tlgX02.opp-grc1	Commentarius In Apocalypsin	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4102.tlgX03.xml	tlg4102.tlgX03	urn:cts:greekLit:tlg4102.tlgX03.opp-grc1	Commentarius In Apocalypsin (Pseudo-Oecumenii) (E Cod. Coislin.	Catenae (Novum Testamentum)	J. A. Cramer, S.T.P.	E Typographeo Academico.	MDCCCXL.
tlg4193.tlg012.opp.grc1.xml	tlg4193.tlg012.opp.grc1	urn:cts:greekLit:tlg4193.tlg012.opp-grc1	In Aristotelis Sophisticos Elenchos Paraphrasis	Anonymi In Aristotelis Sophisticos Elenchos	Michael Hayduck	Berolini: Typis Et Impensis G. Reimeri	1883-1884
tlg9004.tlg001.opp.grc1.xml	tlg9004.tlg001.opp.grc1	urn:cts:greekLit:tlg9004.tlg001.opp-grc1	Anonymi In Analyticorum Posteriorum Librum Alterum Commentarium	Anonymi In Aristotelis Librum Alterum Analyticorum Posteriorum	Maximillanus Wallies	Tyis Et Impensis Georgh Reimeri	MCMIX
tlg9006.tlg011.opp.grc1.xml	tlg9006.tlg011.opp.grc1	urn:cts:greekLit:tlg9006.tlg011.opp-grc1	Orationes XIII-XXX	Gregorius	Richardus Foerster	In Aedibus B. G. Teubneri	1911
tlg9019.tlg001.xml	tlg9019.tlg001	urn:cts:greekLit:tlg9019.tlg001.opp-grc1	In Aristotelis Librum De Interpretatione Commentarium	Stephanus	Adolfus Busse	Typis Et Impensis Georgii Reimeri	MCM
