URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg0018.tlg025	tlg0018.tlg025.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg026	tlg0018.tlg026.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg027	tlg0018.tlg027.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg028	tlg0018.tlg028.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg029	tlg0018.tlg029.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg030	tlg0018.tlg030.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0018.tlg031	tlg0018.tlg031.opp-grc1	PHILONIS ALEXANDRINI OPERA QVAE SVPERSVNT	LEOPOLDVS COHN ET PAVLVS WENDLAND	LEOPOLDVS COHN ET PAVLVS WENDLAND	TYPIS ET IMPENSIS GEORGII REIMERI	MCMII
tlg0363.tlg007	tlg0363.tlg007.opp-grc2	CLAVDII PTOLEMAEI	F. BOLL† ET Æ. BOER	F. BOLL† ET Æ. BOER	IN AEDIBVS B.G. TEVBNERI	MCMLIV
tlg0527.tlg030.edition	tlg0527.tlg034.opp-grc1	ECCLESIASTICUS	J. H. A. HART, M.A.	J. H. A. HART, M.A.	Cambridge	1909
tlg0527.tlg048.opp-eng2	tlg0527.tlg048.opp-eng2	THE BOOK OF ISAIAH	R. R. OTTLEY, M.A.	R. R. OTTLEY, M.A.	C. J. Clay and Sons Cambridge University Press Warehouse Ave Maria Lane	1904
