URN	Title	Author	Editor	Publisher	Publication Year
urn:cts:greekLit:tlg4033.tlg003.opp-grc1	In Ethica Nicomachea Quae Supersunt Commentaria	Aspasius	Gustavus Heylbut	Berolini: Typis Et Impensis G. Reimeri	1889
urn:cts:greekLit:tlg4034.tlg002.opp-grc1	In Parva Naturalia Commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
urn:cts:greekLit:tlg4034.tlg003.opp-grc1	In Parva Naturalia Commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
urn:cts:greekLit:tlg4034.tlg003.opp-grc2	In Parva Naturalia Commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
urn:cts:greekLit:tlg4034.tlg006.opp-grc1	In Parva Naturalia Commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
urn:cts:greekLit:tlg4034.tlg006.opp-grc2	In Parva Naturalia Commentaria	Michael Ephesius	Paulus Wendland	Berolini: Typis Et Impensis G. Reimeri	1903
urn:cts:greekLit:tlg4036.tlg001.opp-grc1	Proclus Diadochus	Gvilelmvs Kroll	Gvilelmvs Kroll	In Aedibvs B. G. Tevbneri	MDCCCXCIX
urn:cts:greekLit:tlg4089.tlg003.opp-grc1	Theodoret Kirchengeschichte	Dr. Léon Parmentier	Dr. Léon Parmentier	J.C. Hinrichs'Sche Buchhandlung	1911
urn:cts:greekLit:tlg4102.tlg001.opp-grc1	In Evangelia S. Matthaei Et S. Marci	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg002.opp-grc1	In Evangelia S. Matthaei Et S. Marci	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg003.opp-grc1	In Evangelia S. Matthaei Et S. Marci	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg004.opp-grc1	In Evangelia S. Lucae Et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg005.opp-grc1	In Evangelia S. Lucae Et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg006.opp-grc1	In Evangelia S. Lucae Et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg007.opp-grc1	In Evangelia S. Lucae Et S. Joannis	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg008.opp-grc1	In Acta Ss. Apostolorum	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg010.opp-grc1	In Epistulam S. Pauli Ad Romanos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg011.opp-grc1	In Epistulam S. Pauli Ad Romanos	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg012.opp-grc1	In Epistolas S. Pauli Ad Corinthios	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg013.opp-grc1	In Epistolas S. Pauli Ad Corinthios	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg019.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg020.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
urn:cts:greekLit:tlg4102.tlg021.opp-grc1	In Epistolas S. Pauli Ad Galatas, Ephesios, Philippenses, Colossenses, Thessalonicenses	None	John Anthony Cramer	E Typographeo Academico	1844
